especie,especieCBRO
Orthogonys chloricterus,Orthogonys chloricterus
Orthopsittaca manilatus,Orthopsittaca manilatus
Oryzoborus angolensis,Sporophila angolensis
Oryzoborus maximiliani,Sporophila maximiliani
Oryzobous maximiliani,Sporophila maximiliani
Oxyruncus cristatus cristatus,Oxyruncus cristatus cristatus
Pachyptila belcheri,Pachyptila belcheri
Pachyramphus marginatus,Pachyramphus marginatus
Panyptila cayennensis,Panyptila cayennensis
Parabuteo leucorrhous,Parabuteo leucorrhous
Parabuteo unicinctus,Parabuteo unicinctus
Passerina brissonii,Cyanoloxia brissonii
Passerina glaucocaerulea,Cyanoloxia glaucocaerulea
Patagioenas plumbea,Patagioenas plumbea
Patagioenas speciosa,Patagioenas speciosa
Penelope jacucaca,Penelope jacucaca
Penelope obscura,Penelope obscura
Penelope ochrogaster,Penelope ochrogaster
Penelope superciliaris,Penelope superciliaris
Phacellodomus ferrugineigula,Phacellodomus ferrugineigula
Phacellodomus rufifrons,Phacellodomus rufifrons
Phacellodomus striaticollis,Phacellodomus striaticollis
Phaeothlypis rivularis,Myiothlypis rivularis
Phaethon aethereus,Phaethon aethereus
Phaethon lepturus,Phaethon lepturus
Phaethornis eurynome,Phaethornis eurynome
Phaethornis margarettae,Phaethornis margarettae
Phaetusa simplex,Phaetusa simplex
Phaetusa simplex simplex,Phaetusa simplex simplex
Phalaropus tricolor,Phalaropus tricolor
Phibaltura flavirostris,Phibalura flavirostris
Phibalura flavirostris,Phibalura flavirostris
Philydor atricapillus,Philydor atricapillus
Philydor dimidiatum,Syndactyla dimidiata
Philydor lichtensteini,Anabacerthia lichtensteini
Phlegopsis nigromaculata paraensis,Phlegopsis nigromaculata paraensis
Phleocryptes melanops,Phleocryptes melanops
Phoebetria fusca,Phoebetria fusca
Phyllomyias griseocapilla,Phyllomyias griseocapilla
Phylloscartes beckeri,Phylloscartes beckeri
Phylloscartes difficilis,Phylloscartes difficilis
Phylloscartes eximius,Phylloscartes eximius
