"Especie","Nome_Comum","Categoria"
"Heliornis fulica","picaparra","Pouco Preocupante"
"Pluvialis dominica","batuirucu","Pouco Preocupante"
"Pluvialis squatarola","batuirucu-de-axila-preta","Pouco Preocupante"
"Oreopholus ruficollis","batuira-de-papo-ferrugineo","Pouco Preocupante"
"Larus delawarensis","gaivota-de-bico-manchado","Pouco Preocupante"
"Vanellus cayanus","mexeriqueira","Pouco Preocupante"
"Vanellus chilensis","quero-quero","Pouco Preocupante"
"Charadrius modestus","batuira-de-peito-tijolo","Pouco Preocupante"
"Charadrius sp.","batuira-mascarada",NA
"Charadrius semipalmatus","batuira-de-bando","Pouco Preocupante"
"Charadrius wilsonia","batuira-bicuda","Pouco Preocupante"
"Charadrius collaris","batuira-de-coleira","Pouco Preocupante"
"Charadrius falklandicus","batuira-de-coleira-dupla","Pouco Preocupante"
"Haematopus palliatus","piru-piru","Pouco Preocupante"
"Himantopus mexicanus","pernilongo-de-costas-negras","Pouco Preocupante"
"Himantopus melanurus","pernilongo-de-costas-brancas","Pouco Preocupante"
"Burhinus bistriatus","teu-teu-da-savana","Pouco Preocupante"
"Chionis albus","pomba-antartica","Pouco Preocupante"
"Bartramia longicauda","macarico-do-campo","Pouco Preocupante"
"Numenius hudsonicus","macarico-de-bico-torto","Pouco Preocupante"
"Numenius phaeopus","macarico-galego","Pouco Preocupante"
"Limosa lapponica","fuselo","Quase Ameaçada"
"Limosa haemastica","macarico-de-bico-virado","Pouco Preocupante"
"Limosa fedoa","macarico-marmoreo","Pouco Preocupante"
"Arenaria interpres","vira-pedras","Pouco Preocupante"
"Calidris canutus","macarico-de-papo-vermelho","Quase Ameaçada"
"Calidris pugnax","combatente","Pouco Preocupante"
"Calidris himantopus","macarico-pernilongo","Pouco Preocupante"
"Calidris ferruginea","macarico-de-bico-curvo",NA
"Calidris alba","macarico-branco","Pouco Preocupante"
"Calidris bairdii","macarico-de-bico-fino","Pouco Preocupante"
"Calidris minuta","macarico-pequeno",NA
"Calidris minutilla","macariquinho","Pouco Preocupante"
"Calidris fuscicollis","macarico-de-sobre-branco","Pouco Preocupante"
"Calidris subruficollis","macarico-acanelado","Quase Ameaçada"
"Calidris melanotos","macarico-de-colete","Pouco Preocupante"
"Calidris pusilla","macarico-rasteirinho","Quase Ameaçada"
"Calidris mauri","macarico-do-alasca",NA
"Limnodromus griseus","macarico-de-costas-brancas","Pouco Preocupante"
"Gallinago undulata","narcejao","Pouco Preocupante"
"Gallinago paraguaiae","narceja","Pouco Preocupante"
"Phalaropus tricolor","pisa-n'agua","Pouco Preocupante"
"Phalaropus lobatus","pisa-n'agua-de-pescoco-vermelho",NA
"Phalaropus fulicarius","pisa-n'agua-de-bico-grosso","Pouco Preocupante"
"Xenus cinereus","macarico-tereque","Pouco Preocupante"
"Actitis macularius","macarico-pintado","Pouco Preocupante"
"Tringa solitaria","macarico-solitario","Pouco Preocupante"
"Tringa melanoleuca","macarico-grande-de-perna-amarela","Pouco Preocupante"
"Tringa inornata","macarico-grande-de-asa-branca",NA
"Tringa semipalmata","macarico-de-asa-branca","Pouco Preocupante"
"Tringa flavipes","macarico-de-perna-amarela","Pouco Preocupante"
"Tringa totanus","macarico-de-perna-vermelha","Pouco Preocupante"
"Tringa glareola","macarico-de-bico-curto",NA
"Thinocorus rumicivorus","agachadeira-mirim","Pouco Preocupante"
"Jacana jacana","jacana","Pouco Preocupante"
"Nycticryphes semicollaris","narceja-de-bico-torto","Pouco Preocupante"
"Glareola pratincola","perdiz-do-mar","Pouco Preocupante"
"Stercorarius skua","mandriao-grande","Pouco Preocupante"
"Stercorarius chilensis","mandriao-chileno","Pouco Preocupante"
"Stercorarius maccormicki","mandriao-do-sul","Pouco Preocupante"
"Stercorarius antarcticus","mandriao-antartico","Pouco Preocupante"
"Stercorarius pomarinus","mandriao-pomarino","Pouco Preocupante"
"Stercorarius parasiticus","mandriao-parasitico","Pouco Preocupante"
"Stercorarius longicaudus","mandriao-de-cauda-comprida","Pouco Preocupante"
"Xema sabini","gaivota-de-sabine","Pouco Preocupante"
"Chroicocephalus maculipennis","gaivota-maria-velha","Pouco Preocupante"
"Chroicocephalus cirrocephalus","gaivota-de-cabeca-cinza","Pouco Preocupante"
"Chroicocephalus ridibundus","gaivota-de-capuz-escuro",NA
"Leucophaeus modestus","gaivota-cinzenta",NA
"Leucophaeus atricilla","gaivota-alegre","Pouco Preocupante"
"Micrococcyx pumilus","papa-lagarta-de-papo-ferrugem","Pouco Preocupante"
"Leucophaeus pipixcan","gaivota-de-franklin","Pouco Preocupante"
"Larus atlanticus","gaivota-de-rabo-preto","Quase Ameaçada"
"Larus dominicanus","gaivotao","Pouco Preocupante"
"Larus fuscus","gaivota-da-asa-escura","Pouco Preocupante"
"Anous stolidus","trinta-reis-escuro","Pouco Preocupante"
"Anous minutus","trinta-reis-preto","Pouco Preocupante"
"Gygis alba","grazina","Pouco Preocupante"
"Rynchops niger","talha-mar","Pouco Preocupante"
"Onychoprion fuscatus","trinta-reis-das-rocas","Pouco Preocupante"
"Sternula antillarum","trinta-reis-miudo","Pouco Preocupante"
"Sternula superciliaris","trinta-reis-pequeno","Pouco Preocupante"
"Phaetusa simplex","trinta-reis-grande","Pouco Preocupante"
"Gelochelidon nilotica","trinta-reis-de-bico-preto","Pouco Preocupante"
"Chlidonias niger","trinta-reis-negro","Pouco Preocupante"
"Chlidonias leucopterus","trinta-reis-negro-de-asa-branca","Pouco Preocupante"
"Sterna hirundo","trinta-reis-boreal","Pouco Preocupante"
"Sterna dougallii","trinta-reis-roseo","Pouco Preocupante"
"Sterna paradisaea","trinta-reis-artico","Pouco Preocupante"
"Sterna hirundinacea","trinta-reis-de-bico-vermelho","Pouco Preocupante"
"Sterna vittata","trinta-reis-antartico","Pouco Preocupante"
"Sterna trudeaui","trinta-reis-de-coroa-branca","Pouco Preocupante"
"Thalasseus acuflavidus","trinta-reis-de-bando","Pouco Preocupante"
"Thalasseus maximus","trinta-reis-real","Pouco Preocupante"
"Eurypyga helias","pavaozinho-do-para","Pouco Preocupante"
"Phaethon aethereus","rabo-de-palha-de-bico-vermelho","Pouco Preocupante"
"Phaethon rubricauda","rabo-de-palha-de-cauda-vermelha","Pouco Preocupante"
"Phaethon lepturus","rabo-de-palha-de-bico-laranja","Pouco Preocupante"
"Aptenodytes patagonicus","pinguim-rei","Pouco Preocupante"
"Spheniscus magellanicus","pinguim-de-magalhaes","Quase Ameaçada"
"Eudyptes chrysolophus","pinguim-macaroni","Vulnerável"
"Eudyptes chrysocome","pinguim-de-penacho-amarelo","Vulnerável"
"Diomedea epomophora","albatroz-real","Vulnerável"
"Diomedea sanfordi","albatroz-real-do-norte","Em Perigo"
"Diomedea exulans","albatroz-errante","Vulnerável"
"Diomedea dabbenena","albatroz-de-tristao","Em Perigo Crítico"
"Phoebetria fusca","piau-preto","Em Perigo"
"Phoebetria palpebrata","piau-de-costas-claras","Quase Ameaçada"
